scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,cumulative_revenue,-4.916455489570516e+07,-4.6227583411930054e+08,-3.6493039867222086e+07,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,final_headcount,2.7498572597352595,0.526142407192343,23.6597598760824,0.955,0.045
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,productive_capacity_added_total,65276.11034917743,48552.389796532494,75131.40516159295,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,productive_capacity_growth_rate,0.011321065910498973,0.009395761306035777,0.07632152236348824,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,risk_adjusted_employee_income,-833.8985106890614,-5915.88620398106,-645.029909528089,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,240,sustainable_development_value_proxy,2.308133891066134e+06,532345.2101965367,3.7179395392906405e+07,0.964,0.036
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,average_employee_income_monthly,497.48560313704365,-6864.312365989604,634.7653472684456,0.727,0.273
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,capacity_cagr,-2.7396547836788798e-05,-6.659147786400866e-05,0.01063556265300245,0.314,0.686
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,cash_end_total,-2.9029471139107607e+06,-3.663027794703883e+06,8.238185218081447e+06,0.273,0.727
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,cash_end_unrestricted,-2.8906042100304766e+06,-3.656679937251332e+06,8.263798923351044e+06,0.273,0.727
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,cumulative_net_profit,-2.706980612468118e+06,-3.49173686566687e+06,8.207406348837463e+06,0.273,0.727
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,cumulative_operating_profit,-1.0367457438351866e+06,-1.9626388783905578e+06,9.564469007558867e+06,0.275,0.725
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,cumulative_revenue,-6.668106490143418e+06,-3.3915411665348274e+08,-2.9300709969820017e+06,0.001,0.999
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,final_headcount,-2.395793972492058,-3.1868816947881506,8.34398871785838,0.28,0.72
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,productive_capacity_added_total,-3287.9533865225385,-18640.240499090978,-836.6825008965416,0.04,0.96
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,productive_capacity_growth_rate,-0.00012649367232397957,-0.00030694794028501837,0.050089040536884094,0.314,0.686
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,60,risk_adjusted_employee_income,626.1682805706441,-17994.70663303194,776.9485777029665,0.726,0.274
