scenario,system_type,behavior_case,market_case,horizon_months,runs,median_cumulative_revenue,p10_cumulative_revenue,p90_cumulative_revenue,median_operating_profit,median_net_profit,median_productivity_per_employee,turnover_rate_annual_average,hiring_and_onboarding_costs_total,average_employee_income_monthly,risk_adjusted_employee_income,employee_cash_distribution_total,member_capital_accounts_total,reinvestment_total_cash,productive_capacity_growth_rate,cash_end_total_median,cash_end_unrestricted_p10,min_unrestricted_cash_p10,liquidity_deficit_probability,bankruptcy_probability,shock_survival_rate,final_headcount_median,revenue_cagr_median,capacity_cagr_median,employee_risk_concentration_index_average,sustainable_development_value_proxy_median,classification,assumption_flags
profit_sharing,profit_sharing,moderate_positive,default_market,240,1000,8.415603304585118e+08,7.911154593140099e+08,8.767024766656188e+08,-7.468926214584179e+06,-1.387184658521395e+07,66070.21734170575,0.05760037380060411,7.168958632766049e+06,119910.29933984042,105999.97034738198,2.291907633749814e+06,0,2.291907633749814e+06,-0.12277943373594602,558950.4243164845,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6320441988950276,32.27077449649509,0,-0.006528437416291888,0.060776654417559584,1.5030940992523572e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,negative_fairness_free_rider,default_market,60,1000,6.705096854463186e+08,6.163803562619002e+08,6.968056714328507e+08,-9.799336705057347e+06,-1.408711790423118e+07,211995.1216592067,0.24178485787817666,7.223680511413677e+06,115846.02878384471,113449.9374267913,1.5258965868643974e+06,0,1.5258965868643974e+06,-0.1042537478493259,401348.22085733013,-5.820766091346741e-10,-5.820766091346741e-10,0.582,0.582,0.621301775147929,30.043846549840055,-0.06741814938723156,-0.02177895917231637,0.20197128134027514,1.5449280019244602e+08,risk_constrained,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,negative_fairness_free_rider,default_market,120,1000,6.705649701928532e+08,6.163803562619002e+08,7.168543930949892e+08,-1.0660888275141235e+07,-1.4925419003093835e+07,106021.44911491012,0.12166832467000495,7.223680511413677e+06,115850.4420633282,101160.15800198467,1.5258965868643974e+06,0,1.5258965868643974e+06,-0.10526330243480442,374938.8132255897,-5.820766091346741e-10,-6.402842700481415e-10,1,1,0.6068075117370892,29.04270162182031,0,-0.01106095247237121,0.10104781417003085,1.5329106774571538e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,negative_fairness_free_rider,default_market,240,1000,6.705649701928532e+08,6.163803562619002e+08,7.168543930949892e+08,-1.0660888275141235e+07,-1.4925419003093835e+07,53010.72455745506,0.060834162335002474,7.223680511413677e+06,115850.4420633282,103156.13279273271,1.5258965868643974e+06,0,1.5258965868643974e+06,-0.10526330243480442,374938.8132255897,-5.820766091346741e-10,-6.402842700481415e-10,1,1,0.6068075117370892,29.04270162182031,0,-0.005545854487182145,0.050523907085015425,1.5329106774571538e+08,development_dominant,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.01; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,no_effect,default_market,60,1000,7.183018010796242e+08,6.996817192403015e+08,7.287245857129618e+08,8.3337201692040935e+06,2.47867644538764e+06,217933.3339136988,0.19999999999999982,7.3023282561846785e+06,116800.97267350242,114424.29731075262,2.1049358419509213e+06,0,2.1049358419509213e+06,-0.10198631190218133,1.5446605898882495e+07,1.0113487608424546e+07,1.0113487608424546e+07,0,0,0.9126328217237308,47.71196281787874,0.00648861777691867,-0.021284218369638286,0.20275442474788735,1.6931544053325528e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,no_effect,default_market,120,1000,8.221520034621762e+08,7.647481640891514e+08,8.588640540428957e+08,-8.202182677785729e+06,-1.4019779602411103e+07,129614.17465906005,0.11833333333333318,7.3023282561846785e+06,119402.0356681231,104457.79648958144,2.1049358419509213e+06,0,2.1049358419509213e+06,-0.12118140941156863,514214.9586010333,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6298773690078038,31.630766530675974,0,-0.012834603308445214,0.11967529730154694,1.5068829961068058e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,no_effect,default_market,240,1000,8.221520034621762e+08,7.647481640891514e+08,8.588640540428957e+08,-8.202182677785729e+06,-1.4019779602411103e+07,64807.087329530026,0.05916666666666659,7.3023282561846785e+06,119402.0356681231,105592.50916852131,2.1049358419509213e+06,0,2.1049358419509213e+06,-0.12118140941156863,514214.9586010333,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6298773690078038,31.630766530675974,0,-0.006438025741979658,0.05983764865077347,1.5068829961068058e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,retention_only,default_market,60,1000,7.196839270044564e+08,7.022176908689804e+08,7.296181346220728e+08,8.88530865842269e+06,2.911071444668142e+06,217873.4396656307,0.18880000000000005,6.943385769841453e+06,116823.62459379154,114445.99805472774,2.13716797613356e+06,0,2.13716797613356e+06,-0.10180336790950717,1.5818804887280952e+07,1.0556475738040568e+07,1.0556475738040568e+07,0,0,0.9244391971664699,48.39231159663493,0.007918059808204259,-0.021244344682151584,0.2027860187832472,1.6968036204094198e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,retention_only,default_market,120,1000,8.27387351716003e+08,7.715213401532145e+08,8.664868977686274e+08,-8.054589549701157e+06,-1.4034001456209667e+07,129691.64554620607,0.11170666666666675,6.943385769841453e+06,119503.36702836695,104556.7767107074,2.13716797613356e+06,0,2.13716797613356e+06,-0.12170823433568112,519198.37218096014,-9.313225746154785e-10,-9.313225746154785e-10,1,1,0.6329254727474972,32.16975758628752,0,-0.012893796836745908,0.11976189009511456,1.505233052200169e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,retention_only,default_market,240,1000,8.27387351716003e+08,7.715213401532145e+08,8.664868977686274e+08,-8.054589549701157e+06,-1.4034001456209667e+07,64845.822773103035,0.05585333333333337,6.943385769841453e+06,119503.36702836695,105690.91701643879,2.13716797613356e+06,0,2.13716797613356e+06,-0.12170823433568112,519198.37218096014,-9.313225746154785e-10,-9.313225746154785e-10,1,1,0.6329254727474972,32.16975758628752,0,-0.00646781473226532,0.05988094504755728,1.505233052200169e+08,development_tradeoff,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,risk_concentration_negative,default_market,60,1000,7.149279587969782e+08,6.926808964656111e+08,7.267322753486948e+08,6.769813079310993e+06,1.1984155550200753e+06,217726.04049865395,0.2166826313925091,7.777589812051064e+06,116727.01601953221,114351.86044793896,2.0169286836036963e+06,0,2.0169286836036963e+06,-0.10243595300406161,1.4294864634461056e+07,8.911507253497625e+06,8.911507253497625e+06,0.001,0.001,0.8819362455726092,45.868993663681415,0.0016192446202869526,-0.021382247834365042,0.20266189467378112,1.6811913169144106e+08,development_tradeoff,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,risk_concentration_negative,default_market,120,1000,8.047590882322489e+08,7.46417233644064e+08,8.425384637454867e+08,-8.606401904068459e+06,-1.4209024679363187e+07,127548.7998948152,0.12638092186665165,7.777589812051064e+06,119010.63970426234,104071.48212715301,2.0169286836036963e+06,0,2.0169286836036963e+06,-0.11973324799719859,493953.2717603035,-6.984919309616089e-10,-8.149072527885437e-10,1,1,0.6252796420581656,30.664787931500662,0,-0.012672053734577915,0.11795230815904759,1.5084595273911443e+08,development_tradeoff,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
profit_sharing,profit_sharing,risk_concentration_negative,default_market,240,1000,8.047590882322489e+08,7.46417233644064e+08,8.425384637454867e+08,-8.606401904068459e+06,-1.4209024679363187e+07,63774.3999474076,0.06319046093332582,7.777589812051064e+06,119010.63970426234,105300.29624609111,2.0169286836036963e+06,0,2.0169286836036963e+06,-0.11973324799719859,493953.2717603035,-6.984919309616089e-10,-8.149072527885437e-10,1,1,0.6252796420581656,30.664787931500662,0,-0.006356227682468185,0.05897615407952379,1.5084595273911443e+08,development_tradeoff,"high_performer_attrition_indicator_only: weighted high-performer attrition indicator is 0.004; it is reported as an assumption only because section 8 defines no term for aggregate turnover;simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,governance_costly,default_market,60,1000,7.204918629679438e+08,7.022302180780047e+08,7.308059060447035e+08,8.079748128354337e+06,3.919837525538029e+06,217638.9027019526,0.19999999999999982,7.412843933924437e+06,116189.19987722076,113680.08639850027,0,0,3.1352512335733436e+06,-0.09648080292775818,1.5844644410611667e+07,1.049286375380582e+07,1.049286375380582e+07,0,0,0.9256198347107438,48.279491958105694,0.008277999234732714,-0.020087095617247586,0.19999999999999982,1.7065476400674874e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,governance_costly,default_market,120,1000,8.272753414777153e+08,7.708896644465828e+08,8.661132046630254e+08,-8.899366164039087e+06,-1.3053092165504435e+07,129548.54178938328,0.11833333333333318,7.412843933924437e+06,118915.59051393885,104020.63284805382,0,0,3.1352512335733436e+06,-0.11635703535255976,509321.5495203147,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6373748609566184,31.83095394992781,0,-0.012294021769085617,0.11833333333333318,1.5146286789732686e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,governance_costly,default_market,240,1000,8.272753414777153e+08,7.708896644465828e+08,8.661132046630254e+08,-8.899366164039087e+06,-1.3053092165504435e+07,64774.27089469164,0.05916666666666659,7.412843933924437e+06,118915.59051393885,105157.08332076545,0,0,3.1352512335733436e+06,-0.11635703535255976,509321.5495203147,-1.0477378964424133e-09,-1.0477378964424133e-09,1,1,0.6373748609566184,31.83095394992781,0,-0.006166020790741966,0.05916666666666659,1.5146286789732686e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,moderate_positive,default_market,60,1000,7.209758511138122e+08,7.035706822871522e+08,7.309660026024505e+08,8.448811073945973e+06,4.232233417442333e+06,217855.40577829047,0.20095308219002847,7.47308387612926e+06,116199.37245776455,113690.25897904404,0,0,3.1660279981568763e+06,-0.09630603736264176,1.6159450506988265e+07,1.0870451180265306e+07,1.0870451180265306e+07,0,0,0.9327036599763873,48.51727985661799,0.009094843776577655,-0.02004919010847822,0.19999999999999982,1.709419887932313e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,moderate_positive,default_market,120,1000,8.311141711455562e+08,7.734406575535114e+08,8.706956243138343e+08,-8.824488364652503e+06,-1.305327411623865e+07,129913.93423238688,0.11889898975498214,7.47308387612926e+06,119027.30074907842,104132.75482060217,0,0,3.1660279981568763e+06,-0.11670549561136151,514451.61906957347,-9.313225746154785e-10,-9.313225746154785e-10,1,1,0.6377777777777778,31.755368251066976,0,-0.01233297838275027,0.11833333333333318,1.5134355779815364e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
traditional_company,traditional_company,moderate_positive,default_market,240,1000,8.311141711455562e+08,7.734406575535114e+08,8.706956243138343e+08,-8.824488364652503e+06,-1.305327411623865e+07,64956.96711619344,0.05944949487749107,7.47308387612926e+06,119027.30074907842,105235.44551676576,0,0,3.1660279981568763e+06,-0.11670549561136151,514451.61906957347,-9.313225746154785e-10,-9.313225746154785e-10,1,1,0.6377777777777778,31.755368251066976,0,-0.006185620139646852,0.05916666666666659,1.5134355779815364e+08,reference,"simplified_tax_model: profit tax is modeled as a simplified rate-and-lag calculation, not as legal or tax advice"
